"Customweb_BNPMercanetCw::* Required Fields","* Required Fields"
"Customweb_BNPMercanetCw::-- No Status Change --","-- No Status Change --"
"Customweb_BNPMercanetCw::0","0"
"Customweb_BNPMercanetCw::1","1"
"Customweb_BNPMercanetCw::10","10"
"Customweb_BNPMercanetCw::11","11"
"Customweb_BNPMercanetCw::12","12"
"Customweb_BNPMercanetCw::13","13"
"Customweb_BNPMercanetCw::14","14"
"Customweb_BNPMercanetCw::15","15"
"Customweb_BNPMercanetCw::16","16"
"Customweb_BNPMercanetCw::17","17"
"Customweb_BNPMercanetCw::18","18"
"Customweb_BNPMercanetCw::19","19"
"Customweb_BNPMercanetCw::2","2"
"Customweb_BNPMercanetCw::20","20"
"Customweb_BNPMercanetCw::21","21"
"Customweb_BNPMercanetCw::22","22"
"Customweb_BNPMercanetCw::23","23"
"Customweb_BNPMercanetCw::24","24"
"Customweb_BNPMercanetCw::25","25"
"Customweb_BNPMercanetCw::26","26"
"Customweb_BNPMercanetCw::27","27"
"Customweb_BNPMercanetCw::28","28"
"Customweb_BNPMercanetCw::29","29"
"Customweb_BNPMercanetCw::3","3"
"Customweb_BNPMercanetCw::30","30"
"Customweb_BNPMercanetCw::3D Secure","3D Secure"
"Customweb_BNPMercanetCw::3D Secure Authentication","3D Secure Authentication"
"Customweb_BNPMercanetCw::3D Secure Minimum amount","3D Secure Minimum amount"
"Customweb_BNPMercanetCw::3D Secure failed","3D Secure verification failed"
"Customweb_BNPMercanetCw::3D Secure sucess","3D Secure successfull"
"Customweb_BNPMercanetCw::4","4"
"Customweb_BNPMercanetCw::5","5"
"Customweb_BNPMercanetCw::6","6"
"Customweb_BNPMercanetCw::7","7"
"Customweb_BNPMercanetCw::8","8"
"Customweb_BNPMercanetCw::9","9"
"Customweb_BNPMercanetCw::<span class=""card-expiry-format-note"">The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.</span>","<span class=""card-expiry-format-note"">The expected format is '!format' where the 'MM' means the month in two digits and 'YY' the year in two digits.</span>"
"Customweb_BNPMercanetCw::A authorized transaction cannot be authorized again.","An authorised transaction cannot be authorised again."
"Customweb_BNPMercanetCw::A authorized transaction cannot be marked as failed.","An authorised transaction cannot be marked as failed."
"Customweb_BNPMercanetCw::A cancelled transaction cannot be authorized.","A cancelled transaction cannot be authorised."
"Customweb_BNPMercanetCw::A cancelled transaction cannot be cancelled again.","A cancelled transaction cannot be cancelled again."
"Customweb_BNPMercanetCw::A cancelled transaction cannot be captured.","A cancelled transaction cannot be captured"
"Customweb_BNPMercanetCw::A cancelled transaction cannot be marked as failed.","A cancelled transaction cannot be marked as failed."
"Customweb_BNPMercanetCw::A cancelled transaction cannot be refunded.","A cancelled transaction cannot be refunded"
"Customweb_BNPMercanetCw::A captured transaction cannot be authorized.","A captured transaction cannot be authorised."
"Customweb_BNPMercanetCw::A captured transaction cannot be cancelled.","A captured transaction cannot be cancelled."
"Customweb_BNPMercanetCw::A captured transaction cannot be marked as failed.","A captured transaction cannot be marked as failed."
"Customweb_BNPMercanetCw::A failed authorization cannot be authorized.","A failed authorisation cannot be authorised."
"Customweb_BNPMercanetCw::A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Some payment methods are not be available for customers from certain counties. You can decide at what instant this availability check should happen. We recommend setting it to 'during authorisation'."
"Customweb_BNPMercanetCw::A refund was added over !amount.","A refund was added over !amount."
"Customweb_BNPMercanetCw::A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","A transaction may be uncertain, when the payment is not guaranteed. For example in the case that the credit card does not participate in the 3D Secure procedure."
"Customweb_BNPMercanetCw::About","About"
"Customweb_BNPMercanetCw::Account Holder Name","Account holder"
"Customweb_BNPMercanetCw::Account owner name.","Account holder"
"Customweb_BNPMercanetCw::Action","Action"
"Customweb_BNPMercanetCw::Actions","Actions"
"Customweb_BNPMercanetCw::Activate","Active"
"Customweb_BNPMercanetCw::Activate the payment method that you want to accept payments with.","Activate the payment method that you want to accept payments with."
"Customweb_BNPMercanetCw::Active","Active"
"Customweb_BNPMercanetCw::Additional Information","Additional Information"
"Customweb_BNPMercanetCw::Adjust Qty","Adjust Quantity"
"Customweb_BNPMercanetCw::Adjustment Discount","Adjustment Discount"
"Customweb_BNPMercanetCw::Adjustment Fee","Adjustment Fee"
"Customweb_BNPMercanetCw::After payment selection","After payment method selection"
"Customweb_BNPMercanetCw::Ajax authorization not supported.","Ajax authorization not supported"
"Customweb_BNPMercanetCw::Alias","Alias"
"Customweb_BNPMercanetCw::Alias For Display","Alias For Display"
"Customweb_BNPMercanetCw::All Customers","All Customers"
"Customweb_BNPMercanetCw::Allowed Currencies","Allowed currencies"
"Customweb_BNPMercanetCw::Allowed currencies for this payment method","Permitted currencies for this payment method"
"Customweb_BNPMercanetCw::Already registered?","Already registered?"
"Customweb_BNPMercanetCw::Always Checkout as Guest","Always Checkout as Guest"
"Customweb_BNPMercanetCw::American Express","American Express"
"Customweb_BNPMercanetCw::Amount","Amount"
"Customweb_BNPMercanetCw::Amount Incl. Tax","Amount Incl. Tax"
"Customweb_BNPMercanetCw::Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
"Customweb_BNPMercanetCw::Author","Author"
"Customweb_BNPMercanetCw::Authorisation request to be performed via telephone with the issuer, as the card authorisation threshold has been exceeded, if the forcing is authorised for the merchant.","Authorisation request to be performed via telephone with the issuer, as the card authorisation threshold has been exceeded, if the forcing is authorised for the merchant."
"Customweb_BNPMercanetCw::Authorization Amount","Authorisation Amount"
"Customweb_BNPMercanetCw::Authorization Failed","Authorisation failed"
"Customweb_BNPMercanetCw::Authorization Method","Authorisation Method"
"Customweb_BNPMercanetCw::Authorization is uncertain.","Authorisation is uncertain"
"Customweb_BNPMercanetCw::Authorized Status","Authorised status"
"Customweb_BNPMercanetCw::Await Notification","Await Notification"
"Customweb_BNPMercanetCw::Awaiting confirmation","Awaiting confirmation"
"Customweb_BNPMercanetCw::BIC","BIC"
