"%s days","%s jours"
"Account Information","Information Compte"
"Action is blocked in quote confirmation mode","Action bloqué dans mode de confirmation de devis"
"Add Qty","Ajouter qté."
"Add to Cart","Ajouter au panier"
"Add to Quote","Ajouter au devis"
"Address","Adresse"
"All items were moved to cart successfully.","Tous les produits ont été ajouté au panier."
"Back to My Quotes","Retour à mes devis"
"Billing address wasn't added","Adresse de facturation pas renseignée"
"By deleting an item, you will create a new quote request. Do you want to do this?","Si vous supprimez un article vous allez générer une nouvelle demande de devis. Voulez-vous continuer?"
"Can not add client note request to the product.","Impossible d'ajouter la note"
"Can not add customer address.","Impossible d'ajouter l'adresse client"
"Can not add one of the items to quote request.","Impossible d'ajouter un des articles à la demande de devis."
"Can't remove item","Impossible de supprimer l'article"
"Can't update quote list","Impossible de mettre à jour la liste"
"Cancel","Annuler"
"Cannot configure product.","Impossible de configurer le produit."
"Cannot update the item.","Impossible de mettre à jour l'article."
"Change to Quotation mode?","Changer en mode devis ?"
"Checking..","Contrôle..."
"City","Ville"
"Company","Société"
"Confirm and CheckOut","Confirmer et aller à la caisse"
"Continue","Continuer"
"Continue Shopping","Continuer mes achats"
"Country","Pays"
"Customer email already exists. You should login <a href=%s>here</a>","Adresse email déjà existante. Veuillez vous <a href=%s>connecter</a>"
"Date of Proposal","Date de la proposition"
"Do you have a general remark with your quote request?","Avez vous une remarque générale pour cette demande de devis ?"
"Edit","éditer"
"Edit Quote","Editer Devis"
"Edit Request","Editer Devis"
"Email Address","Adresse email"
"Email already exists","Adresse email existe déjà"
"First Name","Prénom"
"Item %s wasn't moved to Shopping cart","Article %s n'a pas été bougé au panier"
"Item %s wasn't removed from Quote mode","Article %s n'a pas été retiré du mode de devis"
"Item was deleted successfully.","Article supprimé."
"Item was moved to cart successfully.","Article a bien été ajouté au panier."
"Item was moved to quote successfully.","Article placé dans demande de devis."
"Item(s) were moved from Quote to Order mode successfully.","Article(s) ont été bougé(s) du devis au panier avec succès."
"Items Quoted","Articles demandés"
"Last Name","Nom"
"My Quotes","Mes devis"
"No item in quote.","Pas de demandes dans la liste des demandes de devis."
"No Items to display.","Pas de lignes à afficher."
"Original Price","Prix original"
"Please select required qty and check out online to see applicable price.","Veuillez sélectionner la quantité souhaitée et regarder en ligne pour être informé sur le prix exacte."
"Please specify product quantity.","Veuillez indiquer la quantité."
"Price Proposal","Propose de prix"
"Print Quote","Imprimer devis"
"Product %s successfully added to Quote Request","Article %s bien ajouté à la demande de devis"
"Product Name","Nom du produit"
"Proposal valid until","Devis valable jusqu'au"
"Proposal Valid Until: %s","Devis valable jusqu'à : %s"
"Qquote cancel email was't sent to admin for quote #%s","L'email pour annuler le devis n'a pas été envoyé pour la demande de devis #%s"
"Qquote proposal email was't sent to the client for quote #%s","L'email de devis n'a pas été envoyé au client pour la demande de devis #%s"
"Qquote request email was't sent to admin for quote #%s","L'email pour demande de devis n'a pas été envoyé pour demande de devis #%s"
"Qty","Qté"
"Quotation #%s - Proposal","Demande de devis #%s"
"Quotation #%s was rejected","Devis #%s a été refusé."
"Quotation Date: %s","Date de demande de devis: %s"
"Quote","Demande de devis"
"Quote #","Devis #"
"Quote item is not found.","product n'est pas trouvée."
"Quote list was updated successfully.","Liste des devis a été mise à jour avec succès."
"Quote Proposal","Proposition de devis"
"Quote Request in Process, wait for price proposal Shop owner","Merci pour votre intérêt, nous traitons votre demande de prix dans les plus brefs délais."
"Quote Status","Etat de la demande de devis"
"Reject Proposal","Refuser la propose"
"Remark with Proposal","Remarque sur la propose"
"Remove","Supprimer"
"Remove item","Supprimer l'article"
"Request a shipping quote","Demandez un devis d'expédition"
"Request for Quote","Demande de devis"
"Request information","Remarques avec ce produit"
"Request quote","Envoyer demande"
"Requested information","Commentaire avec le produit"
"Resubmit Quote","Renvoyer le devis"
"Shipping & Handling price varies.","Le prix varie selon la quantité, le délai et la destination."
"Shipping Address","Adresse de livraison"
"Shipping details","Détails de la livraison"
"Shipping Method","Méthode de livraison"
"State/Province","Etat/province"
"Status","Etat"
"STATUS_AUTO_PROPOSAL","Devis envoyé"
"STATUS_BEGIN","Démarré"
"STATUS_CANCELED","Devis annulé"
"STATUS_CONFIRMED","Devis accepté"
"STATUS_DENIED","Devis refusé"
"STATUS_PROPOSAL","Devis envoyé"
"STATUS_PROPOSAL_EXPIRED","Devis expiré"
"STATUS_PROPOSAL_SAVED","Devis sauvegardé"
"STATUS_REQUEST","En traitement"
"STATUS_REQUEST_EXPIRED","Demande expirée"
"Telephone","Télephone"
"Thank you for your interest!","Merci pour votre intérêt !"
"This item will be removed from the list if you continue:","Les articles suivants vont être supprimé de la liste si vous continuez :"
"This order list contains items that cannot quoted.","La sélection contient des articles qui ne peuvent pas être demandés en devis."
"This quote list contains items that cannot ordered.","This quote list contains items that cannot ordered."
"To add item to the Quote mode <a href='%s'>log out</a> from Quote confirmation mode.","Pour ajouter un article à la demande de devis <a href='%s'>veuillez vous déconnecter</a> du mode de confirmation de devis."
"Unit price","Prix unitaire"
"View Quote","Visualiser devis"
"You are in a quote confirmation mode, <a href='%s'>log out</a>.","Vous êtes dans le mode de confirmation de devis, <a href='%s'>veuillez-vous déconnecter</a>."
"You have placed no quotes.","Vous n'avez pas encore de demandes de devis."
"You log out successfully from Quote confirmation mode.","Vous êtes bien déconnecté du mode de confirmation de devis."
"You will receive a quote confirmation email with a link to track progress.","Vous allez recevoir une confirmation de devis par email avec un lien pour rester informé sur la progression de votre demande."
"You're welcome to place a new Request for Quote","Vous êtes invités à placer une nouvelle demande"
"Your quote request has been received","Votre demande de devis a bien été reçue."
"Zip/Postal Code","Code postale"
"%s cannot be added to the quotation in the requested quantity.","%s ne peut pas être ajouté au devis dans la quantité demandée."
"%s is available for quotation in increments of %s only.","%s est disponible pour un devis par incréments de %s uniquement."
"(unsaved changes to the quote will be lost)","(les modifications non enregistrées du devis seront perdues)"
"-- Quote Status --","-- État du devis --"
"-- Remove Coupon --","-- Supprimer le coupon --"
"-- Select Coupon --","-- Sélectionnez un coupon --"
"(<a href='%s'>%s unanswered request</a> in total).","(<a href='%s'>%s demandes sans réponse</a> au total)."
"(<a href='%s'>%s unanswered requests</a> in total).","(<a href='%s'>%s demandes sans réponse</a> au total)."
"<a href=""https://www.cart2quote.com/ordering-licenses?utm_source=Client_Website&utm_medium=Popup_wrongLicenseText&utm_campaign=Client_Website_Upgrade"" class=""sublinkBottom"">read more about licensing</a>","<a href=""https://www.cart2quote.com/ordering-licenses?utm_source=Client_Website&utm_medium=Popup_wrongLicenseText&utm_campaign=Client_Website_Upgrade"" class=""sublinkBottom"">En savoir plus sur les licences</a>."
"About This Quote:","À propos de ce devis :"
"ACTION_CUSTOMER","ACTION_CUSTOMER"
"ACTION_OWNER","ACTION_OWNER"
"Add ","Ajouter "
"Add All to Quote","Ajouter tout au devis"
"Add a note","Ajouter une note"
"Add Items to Cart","Ajouter des articles au panier"
"Add more files...","Ajouter plus de fichiers ..."
"Add new Qty","Ajouter une nouvelle quantité"
"Add Selected Product(s) to Advanced Quote","Ajouter le ou les produits sélectionnés au devis avancé"
"Adjustment Quote","Devis d'ajustement"
"Adjustment Quote (%s)","Devis d'ajustement (%s)"
"Adjustment Quote (Incl. default Tax)","Devis d'ajustement (y compris taxe par défaut)"
"Allow Quote submission with a known email address, without login first.","Autoriser l'envoi de devis avec une adresse électronique connue, sans connexion préalable."
"Are you sure you want to send this message? (unsaved changes to the quote will be lost)","Êtes-vous sûr de vouloir envoyer ce message ? (les modifications non enregistrées du devis seront perdues)"
"Are you sure you would like to remove this item from the quote?","Êtes-vous sûr de vouloir supprimer cet élément du devis ?"
"Assigned To","Assigné à"
