"Customweb_BNPMercanetCw::* Required Fields","* Required Fields"
"Customweb_BNPMercanetCw::-- No Status Change --","-- No Status Change --"
"Customweb_BNPMercanetCw::0","0"
"Customweb_BNPMercanetCw::1","1"
"Customweb_BNPMercanetCw::10","10"
"Customweb_BNPMercanetCw::11","11"
"Customweb_BNPMercanetCw::12","12"
"Customweb_BNPMercanetCw::13","13"
"Customweb_BNPMercanetCw::14","14"
"Customweb_BNPMercanetCw::15","15"
"Customweb_BNPMercanetCw::16","16"
"Customweb_BNPMercanetCw::17","17"
"Customweb_BNPMercanetCw::18","18"
"Customweb_BNPMercanetCw::19","19"
"Customweb_BNPMercanetCw::2","2"
"Customweb_BNPMercanetCw::20","20"
"Customweb_BNPMercanetCw::21","21"
"Customweb_BNPMercanetCw::22","22"
"Customweb_BNPMercanetCw::23","23"
"Customweb_BNPMercanetCw::24","24"
"Customweb_BNPMercanetCw::25","25"
"Customweb_BNPMercanetCw::26","26"
"Customweb_BNPMercanetCw::27","27"
"Customweb_BNPMercanetCw::28","28"
"Customweb_BNPMercanetCw::29","29"
"Customweb_BNPMercanetCw::3","3"
"Customweb_BNPMercanetCw::30","30"
"Customweb_BNPMercanetCw::3D Secure","3D Secure"
"Customweb_BNPMercanetCw::3D Secure Authentication","3D Secure Authentication"
"Customweb_BNPMercanetCw::3D Secure Minimum amount","3D Secure Minimum amount"
"Customweb_BNPMercanetCw::3D Secure failed","3D Secure mislukt"
"Customweb_BNPMercanetCw::3D Secure sucess","3D Secure succes"
"Customweb_BNPMercanetCw::4","4"
"Customweb_BNPMercanetCw::5","5"
"Customweb_BNPMercanetCw::6","6"
"Customweb_BNPMercanetCw::7","7"
"Customweb_BNPMercanetCw::8","8"
"Customweb_BNPMercanetCw::9","9"
"Customweb_BNPMercanetCw::<span class=""card-expiry-format-note"">The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.</span>","<span class=""card-expiry-format-note"">De verwachte formaat is '!format' waar de 'MM' is de maand nummer en 'YY' het jaartal.</span>"
"Customweb_BNPMercanetCw::A authorized transaction cannot be authorized again.","Een geautoriseerde transactie kan niet worden weer geautoriseerd."
"Customweb_BNPMercanetCw::A authorized transaction cannot be marked as failed.","Een geautoriseerde transactie kan niet worden gemarkeerd als mislukt."
"Customweb_BNPMercanetCw::A cancelled transaction cannot be authorized.","Een geannuleerde transactie kan niet worden geautoriseerd."
"Customweb_BNPMercanetCw::A cancelled transaction cannot be cancelled again.","Een geannuleerde transactie kan niet worden weer geannuleerd."
"Customweb_BNPMercanetCw::A cancelled transaction cannot be captured.","Een geannuleerde transactie kan niet worden weer opgenomen."
"Customweb_BNPMercanetCw::A cancelled transaction cannot be marked as failed.","Een geannuleerde transactie kan niet worden gemarkeerd als mislukt."
"Customweb_BNPMercanetCw::A cancelled transaction cannot be refunded.","Een geannuleerde transactie kan niet worden bijgeschreven."
"Customweb_BNPMercanetCw::A captured transaction cannot be authorized.","Een opgenomen transactie kan niet worden geautoriseerd."
"Customweb_BNPMercanetCw::A captured transaction cannot be cancelled.","Een opgenomen transactie kan niet worden geannuleerd."
"Customweb_BNPMercanetCw::A captured transaction cannot be marked as failed.","Een opgenomen transactie kan niet worden gemarkeerd als mislukt."
"Customweb_BNPMercanetCw::A failed authorization cannot be authorized.","Een mislukte autorisatie kan niet worden geautoriseerd."
"Customweb_BNPMercanetCw::A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Sommige betaalmethoden zijn niet beschikbaar voor bepaalde landen. U kunt de tijd waarop de beschikbaarheid cheque te voeren taken. Wij adviseren om op 'Tijdens de autorisatie'."
"Customweb_BNPMercanetCw::A refund was added over !amount.","Een terugbetaling van !amount werd toegevoegd."
"Customweb_BNPMercanetCw::A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Een transactie kan onveilig zijn als de betaling niet is gegarandeerd. Bijvoorbeeld, als de credit card niet tot het 3D Secure proces."
"Customweb_BNPMercanetCw::About","About"
"Customweb_BNPMercanetCw::Account Holder Name","Naam rekeninghouder"
"Customweb_BNPMercanetCw::Account owner name.","Rekeninghouder naam"
"Customweb_BNPMercanetCw::Action","Actie"
"Customweb_BNPMercanetCw::Actions","Actions"
"Customweb_BNPMercanetCw::Activate","Activate"
"Customweb_BNPMercanetCw::Activate the payment method that you want to accept payments with.","Activate the payment method that you want to accept payments with."
"Customweb_BNPMercanetCw::Active","Active"
"Customweb_BNPMercanetCw::Additional Information","Additional Information"
"Customweb_BNPMercanetCw::Adjust Qty","Pas de hoeveelheid"
"Customweb_BNPMercanetCw::Adjustment Discount","Adjustment Discount"
"Customweb_BNPMercanetCw::Adjustment Fee","Adjustment Fee"
"Customweb_BNPMercanetCw::After payment selection","Na het selecteren van de betaalmethode"
"Customweb_BNPMercanetCw::Ajax authorization not supported.","Ajax machtiging wordt niet ondersteund."
"Customweb_BNPMercanetCw::Alias","Alias"
"Customweb_BNPMercanetCw::Alias For Display","Alias ​​voor Beeldscherm"
"Customweb_BNPMercanetCw::All Customers","All Customers"
"Customweb_BNPMercanetCw::Allowed Currencies","Allowed Currencies"
"Customweb_BNPMercanetCw::Allowed currencies for this payment method","Toegestane valuta voor deze betaalmethode"
"Customweb_BNPMercanetCw::Already registered?","Already registered?"
"Customweb_BNPMercanetCw::Always Checkout as Guest","Always Checkout as Guest"
"Customweb_BNPMercanetCw::American Express","American Express"
"Customweb_BNPMercanetCw::Amount","Bedrag"
"Customweb_BNPMercanetCw::Amount Incl. Tax","Amount Incl. Tax"
"Customweb_BNPMercanetCw::Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
"Customweb_BNPMercanetCw::Author","Author"
"Customweb_BNPMercanetCw::Authorisation request to be performed via telephone with the issuer, as the card authorisation threshold has been exceeded, if the forcing is authorised for the merchant.","Aanvraag van de vergunning voor moet worden uitgevoerd via de telefoon met de uitgevende instelling, als de drempel card autorisatie is overschreden, als het dwingen is toegelaten voor de handelaar."
